lat,lng,cap
37.0595,-3.8787,55.78
38.1517,-85.7365,1.5
50.9486,9.071,0.64
51.4914,12.1764,0.58
26.119,102.6098,0.96
36.9963,136.8707,0.74
38.0345,128.1406,0.45
45.4478,-92.9232,1.81
28.3942,115.5181,0.55
53.1481,14.9141,3.53
52.8154,9.0042,2.27
34.9109,127.4821,0.69
36.3525,140.3549,1.05
27.1481,104.9583,0.72
-2.2641,-49.5683,1.04
36.5705,126.5054,0.63
34.2504,135.3312,1.2
41.2484,23.3232,0.58
38.3844,140.3847,0.62
-5.0871,-37.0247,74.86
33.3651,126.2072,0.73
37.5048,107.3836,36.47
36.4959,140.0805,1.16
36.2246,-119.7165,1.12
44.2414,22.921,2.53
39.5084,114.7918,0.3
35.7614,115.4369,0.32
53.3327,7.6635,0.33
47.9546,12.1005,1.44
37.6765,117.7948,3.15
11.5271,107.4494,5.21
43.2365,-77.005,0.89
35.7993,128.4872,0.39
22.6915,100.4901,1.21
36.8777,-78.7419,63.52
49.9524,8.9545,0.78
39.8081,32.3772,1.77
45.7708,-95.4175,0.49
28.1752,115.419,1.94
40.4448,23.0142,0.86
41.5909,116.35,0.72
41.9921,116.348,0.93
27.6254,101.7267,1.2
50.844,-2.2103,11.47
30.2817,114.8339,34.73
52.8888,23.6883,1.04
35.9286,-84.3945,0.71
34.8621,-90.2477,0.44
42.6747,-88.3394,1.72
28.4654,36.51,1.2
38.9041,-121.4916,0.3
40.1315,114.3276,1.94
49.3487,6.9589,1.25
34.6002,102.2783,3.03
-18.2125,-45.2529,3.47
26.9066,80.1995,14.86
31.1399,121.771,0.84
35.0501,127.7494,1.94
68.3784,-133.7414,0.98
53.5954,13.2845,8.9
36.4433,139.5842,1.16
33.6124,-112.4208,0.33
40.2723,-74.5495,0.53
37.4421,140.3177,0.78
34.8262,132.9972,1.39
30.0307,120.8066,0.76
28.5438,77.2329,0.8
35.7387,-81.1566,4.65
-34.0754,20.3054,0.32
23.7933,100.3975,2.97
51.7132,16.7602,1.04
34.3685,116.457,0.3
51.5028,18.086,0.78
41.0725,25.4114,0.59
33.8917,117.0039,2.46
49.0635,9.0341,1.03
25.2375,113.8704,2.72
41.2184,-87.8856,1.17
46.5308,18.1061,0.76
40.5234,34.7261,0.63
43.03,-81.1681,0.29
37.0316,128.2852,1.2
33.4201,119.745,2.14
41.1471,24.2825,0.43
52.4276,9.6551,1.27
35.4821,136.9582,0.42
3.3196,101.289,11.34
47.7102,126.5641,0.72
35.9429,-89.7866,1.61
50.8073,-2.1394,29.88
37.4479,121.9221,1.3
51.1122,5.0185,2.21
43.8079,5.0474,1.25
24.7835,104.1615,5.2
30.6515,111.5644,0.95
32.7856,35.2395,0.69
3.7484,101.516,6.22
23.351,70.6447,1.43
50.0612,5.9855,1.03
41.0151,-86.9891,0.85
51.9676,19.0258,8.26
51.9663,4.0944,1.1
34.3728,108.9659,1.06
27.0549,103.397,2.21
39.6931,22.5202,0.5
-12.2086,-55.9943,0.64
10.3262,103.8646,2.54
14.6913,120.2666,4.62
47.5164,127.0765,0.61
36.5678,106.2011,0.48
42.2406,-77.7877,5.63
30.6318,120.299,1.24
25.0461,113.3999,0.95
14.2436,120.7854,22.47
44.8028,25.0653,9.72
41.0928,120.2853,2.23
38.2046,113.99,0.98
40.3804,0.1228,0.34
40.5314,141.3151,0.41
36.9056,22.8323,0.41
25.4698,114.881,3.29
46.9255,126.844,0.83
39.7037,22.451,0.74
38.8487,-94.5445,0.34
31.9803,131.2367,1.14
45.2433,10.4517,1.57
21.9138,71.0521,1.16
35.2052,140.3737,0.43
43.6277,-72.3508,0.83
42.2011,-4.2691,1.81
-21.3167,55.422,0.76
33.4252,115.4968,0.45
35.1126,24.7443,0.61
38.3236,106.6872,5.51
40.7471,140.8243,1.36
11.0347,-74.8271,1.16
40.7941,-73.1365,0.43
39.9287,-74.9546,0.43
22.8801,120.2973,0.36
35.7884,126.9469,0.87
38.7629,112.102,1.8
31.3326,120.6065,1.08
49.0259,12.8833,1.11
41.0206,22.7421,1.71
35.9502,-79.3613,3.24
39.3548,-0.6117,0.28
32.8991,130.0417,0.71
25.0033,51.5325,40.06
-18.3797,-44.4737,9.97
34.4001,119.8128,5.38
43.3349,18.1409,0.99
39.1491,-8.9032,1.16
38.3074,140.7802,4.32
40.9665,122.8637,0.73
36.9504,117.9177,3.39
43.8969,144.6737,1.17
36.5665,140.0957,1.08
33.3374,115.9309,0.29
43.9493,127.5612,0.58
36.6364,-119.6294,3.05
48.5437,8.0203,0.51
-18.0105,31.6965,0.39
49.7741,9.9406,0.4
37.6072,-122.085,1.24
35.5173,133.1949,5.92
33.5496,126.8213,0.4
27.3221,101.291,6.26
43.709,10.6114,0.72
35.7506,127.5852,0.65
34.4278,-119.8749,0.51
10.6343,107.0609,1.45
40.4229,16.5511,0.64
40.4697,23.3649,30.25
43.7052,-79.8029,0.43
41.2177,-86.9406,28.69
57.8166,27.4368,0.7
42.5248,119.6905,1.12
40.8506,22.848,0.4
39.1968,118.6324,0.83
38.0756,23.3088,0.35
52.7962,12.0574,2.88
-34.6879,142.7565,102.66
57.7834,23.262,0.5
39.7113,22.7857,1.93
50.9528,3.2218,0.89
21.9937,-159.7591,14.05
37.6222,22.4386,0.49
-34.4973,139.5701,5.78
37.03,34.3604,2.85
24.9789,112.602,3.23
21.8113,73.1703,2.48
34.4908,108.981,0.58
13.9938,99.4604,3.09
36.0089,117.0904,0.77
34.3891,135.7423,24.04
40.619,17.1812,1.89
38.4439,114.2105,5.75
23.3609,108.2628,0.88
37.4688,-122.1617,0.29
-17.7524,-50.8741,0.33
21.4715,-158.2054,0.47
50.1319,10.6218,11.37
51.7122,-2.9939,4.08
10.8276,78.4264,4.35
38.4535,140.8632,1.11
25.1011,99.0156,1.12
35.9574,140.2353,0.45
36.1305,127.197,0.92
6.3389,-76.1082,1.17
42.538,141.3227,0.46
28.5045,-81.0396,91.68
36.0512,112.016,1.45
39.8034,-104.9556,0.46
43.0938,13.1094,1.03
33.6386,-117.6877,0.32
33.9429,-80.1532,1.93
51.9646,5.9869,1.64
24.2702,109.8625,2.65
37.6443,126.7091,0.52
27.8601,111.3437,4.31
38.4565,33.9601,3.24
34.6448,132.736,0.7
23.2274,111.5164,1.84
38.5213,141.4139,4.9
36.6042,106.6249,1.18
43.4684,13.5093,3.95
33.6216,132.4982,0.52
41.7557,1.8811,3.0
33.6634,-84.3356,2.25
37.8659,140.1198,1.33
51.7772,14.2467,4.92
14.086,108.1168,3.36
34.8133,134.1645,0.95
35.9009,127.0151,0.32
37.8614,-8.3067,0.37
50.4024,4.4579,0.8
49.3706,6.8982,6.8
30.2834,112.696,27.48
32.9248,116.1767,0.51
